@@,itemlabel,item,startdate,enddate
+++,"Абаканов, Елдос Нурболович",,2021-01-15,
+++,"Абасов, Кайнар Бегалиевич",,2021-01-15,
+++,"Абдрахманов, Сауытбек Абдрахманович",Q4054489,2021-01-15,
+++,"Абдыгалиулы, Берик",Q820633,2021-01-15,
+++,"Абильдаев, Азамат Рахатович",,2021-01-15,
+++,"Абсеметова, Алия Маратовна",,2021-01-15,
+++,"Адамбаев, Сырым Жуматаевич",,2021-01-15,
+++,"Адамбеков, Тилектес Серикбайулы",Q105692468,2021-01-15,
+++,"Акишев, Самат Сагинбаевич",,2021-01-15,
+++,"Алимбаев, Данияр Кенгазыевич",,2021-01-15,
+++,"Амирханян, Аветик Рубенович",,2021-01-15,
+++,"Амреев, Галым Махмутбаевич",,2021-01-15,
+++,"Ахметбеков, Жамбыл Аужанович",Q4073101,2021-01-15,
+++,"Ахметов, Мади Абылаевич",,2021-01-15,
+++,"Ашимжанов, Жанарбек Садыканулы",Q16431155,2021-01-15,
+++,"Барлыбаев, Ерлан Хайланович",,2021-01-15,
+++,"Бейсенбаев, Елнур Сабыржанович",Q109494029,2021-01-15,
+++,"Бекжанов, Берик Айдарбекович",Q109489225,2021-01-15,
+++,"Бердалин, Амангалий Бисенбаевич",,2021-01-15,
+++,"Бижанова, Гульнара Кадиржановна",Q106088594,2021-01-15,
+++,"Бойчин, Анатолий Васильевич",,2021-01-15,
+++,"Буларов, Ильяс Юсупович",Q109487792,2021-01-15,
->,"Дарига Нурсултановна Назарбаева->Назарбаева, Дарига Нурсултановна",Q376532,2021-01-10->2021-01-15,
+++,"Дементьева, Наталья Григорьевна",,2021-01-15,
+++,"Дюсембинов, Берик Салимжанович",,2021-01-15,
+++,"Елеуов, Галымжан Алмасбекович",,2021-01-15,
+++,"Елюбаев, Мади Сагинтаевич",,2021-01-15,
+++,"Ержан, Кудайберген Толепулы",Q70252313,2021-01-15,
+++,"Ерман, Мухтар Тилдабекулы",Q109488494,2021-01-15,
+++,"Ертаев, Сырым Махамбетович",,2021-01-15,
+++,"Ерубаев, Серик Сарсенович",,2021-01-15,
+++,"Еспаева, Дания Мадиевна",Q64494872,2021-01-15,
+++,"Жамалов, Аманжан Макаримович",,2021-01-15,
+++,"Жанбыршин, Едил Терекбайулы",Q21096992,2021-01-15,
